,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
560,PAST SALE,April-14-2021,Townhouse,1900 Homewood Ave,Baltimore,MD,21218,73000.0,6.0,3.0,Ward 9,,,1920.0,112.0,,,Sold,,BRIGHT MLS,MDBA520720,Y,Y,39.3120016,-76.6073896
561,PAST SALE,January-14-2021,Multi-Family (2-4 Unit),354 Bergen St,Newark,NJ,7103,380000.0,6.0,3.0,Newark,,2500.0,,202.0,,,Sold,,NJMLS,20045620,Y,Y,40.7326243,-74.1954389
563,PAST SALE,June-4-2021,Townhouse,3738 N 8th St,Philadelphia,PA,19140,45000.0,3.0,1.0,Philadelphia,1120.0,736.0,1935.0,61.0,40.0,,Sold,,BRIGHT MLS,PAPH942554,Y,Y,40.0091009,-75.1417002
565,MLS Listing,2025,Townhouse,445 W Indiana Ave,Philadelphia,PA,19133,99900.0,4.0,2.0,KENSINGTON,1196.0,756.0,1920.0,44.0,84.0,,Active,,BRIGHT MLS,PAPH2000820,Y,Y,39.9967406,-75.1389637
566,PAST SALE,February-25-2021,Multi-Family (2-4 Unit),345 FULTON Ave,JERSEY CITY,NJ,7305,510000.0,7.0,3.0,Jersey City (West Bergen),,,,160.0,,,Sold,,HCMLS,202024445,Y,Y,40.7081741,-74.0925892
569,PAST SALE,May-14-2021,Multi-Family (2-4 Unit),184 CARTERET Ave,JERSEY CITY,NJ,7305,445000.0,7.0,3.5,Jersey City (Greenville),,,,82.0,,,Sold,,HCMLS,210001215,Y,Y,40.7098005,-74.075966
570,MLS Listing,2025,Single Family Residential,,Brooklyn,NY,11207,275995.0,3.0,1.5,Brooklyn,,1800.0,1990.0,581.0,,,Active,,OneKey,3188454,Y,Y,40.670777,-73.892997
572,PAST SALE,2025,Townhouse,1937 N Darien St,Philadelphia,PA,19122,165500.0,3.0,1.0,,900.0,555.0,1920.0,,184.0,,,,,,Y,Y,39.9813293,-75.1479596
573,PAST SALE,December-30-2020,Multi-Family (2-4 Unit),240 GRANT Ave,JERSEY CITY,NJ,7305,535000.0,7.0,3.0,Jersey City (West Bergen),,,,217.0,,,Sold,,HCMLS,202023975,Y,Y,40.712895,-74.086521
574,MLS Listing,2025,Multi-Family (2-4 Unit),113 S 7th St,Newark,NJ,7107,486000.0,7.0,3.0,Newark,,3001.0,,7.0,,,Active,,NJMLS,21030707,Y,Y,40.7452241,-74.1954848
575,PAST SALE,May-19-2021,Townhouse,3046 N 9th St,Philadelphia,PA,19133,60000.0,4.0,1.0,Philadelphia,1305.0,994.0,1925.0,77.0,46.0,,Sold,,BRIGHT MLS,PAPH943962,Y,Y,39.9984858,-75.1450409
577,PAST SALE,December-28-2020,Multi-Family (2-4 Unit),548 61ST St,West New York,NJ,7093,450000.0,6.0,2.0,West New York,,,,219.0,,,Sold,,HCMLS,202023656,Y,Y,40.7907407,-74.0170904
579,PAST SALE,2025,Townhouse,41 N Ithan St,Philadelphia,PA,19139,50000.0,3.0,1.0,,1152.0,960.0,1925.0,,43.0,,,,,,Y,Y,39.9620436,-75.2331957
