,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
406,PAST SALE,March-24-2021,Single Family Residential,1110 61ST St,North Bergen,NJ,7047,307000.0,4.0,1.0,North Bergen,69.0,69.0,69.0,133.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/North-Bergen/1110-61st-St-07047/home/36597122,HCMLS,210003117,Y,Y,40.7928583,-74.0216235
407,PAST SALE,69,Single Family Residential,82 Roseville Ave,Newark,NJ,7107,69.0,69.0,69.0,69,1352.0,1451.0,1910.0,69.0,69.0,69.0,69,69,69,http://www.redfin.com/NJ/Newark/82-Roseville-Ave-07107/home/36260066,69,69,Y,Y,40.7533564,-74.192046
408,PAST SALE,July-9-2021,Multi-Family (2-4 Unit),27 Hudson St,Newark,NJ,7103,255000.0,4.0,2.0,Newark,69.0,1908.0,69.0,26.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/27-Hudson-St-07103/home/36275655,NJMLS,21013437,Y,Y,40.7489618,-74.1832852
409,PAST SALE,April-7-2021,Multi-Family (2-4 Unit),116 SUMMER Ave,Newark City,NJ,07104-2512,420000.0,69.0,69.0,Newark City,69.0,3049.0,1905.0,119.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/116-Summer-Ave-07104/home/36238018,GSMLS,3681877,Y,Y,40.7548661,-74.1736076
410,MLS Listing,69,Multi-Family (2-4 Unit),64 New York Ave,Newark,NJ,7105,445000.0,6.0,2.0,Newark,69.0,2749.0,69.0,183.0,69.0,69.0,Contingent,69,69,http://www.redfin.com/NJ/Newark/64-New-York-Ave-07105/home/36252282,NJMLS,21003810,Y,Y,40.727335,-74.167404
411,PAST SALE,July-6-2021,Multi-Family (2-4 Unit),236 DANFORTH Ave,JERSEY CITY,NJ,7305,385000.0,5.0,2.0,Jersey City (Greenville),69.0,69.0,69.0,29.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Jersey-City/236-Danforth-Ave-07305/home/36535151,HCMLS,210000946,Y,Y,40.6997188,-74.0937363
412,PAST SALE,April-28-2021,Single Family Residential,63-65 Stengel Ave,Newark,NJ,7112,280000.0,5.0,2.0,Newark,69.0,5001.0,69.0,98.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/63-Stengel-Ave-07112/unit-65/home/36285114,NJMLS,20051839,Y,Y,40.7078174,-74.206832
413,PAST SALE,March-8-2021,Townhouse,2831 W Clearfield St,Philadelphia,PA,19132,83000.0,3.0,1.0,ALLEGHENY WEST,1400.0,1120.0,1925.0,149.0,59.0,69.0,Sold,69,69,http://www.redfin.com/PA/Philadelphia/2831-W-Clearfield-St-19132/home/39070695,BRIGHT MLS,PAPH985454,Y,Y,40.003208,-75.1764819
414,PAST SALE,June-1-2021,Multi-Family (2-4 Unit),306 S 10th St,Newark,NJ,7103,320000.0,5.0,3.0,Newark,69.0,3498.0,69.0,64.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/306-S-10th-St-07103/home/36256515,NJMLS,21004180,Y,Y,40.7422352,-74.1995205
415,PAST SALE,69,Single Family Residential,100 Claremont Ave,Jersey City,NJ,7305,105000.0,69.0,69.0,69,69.0,2701.0,69.0,69.0,69.0,69.0,69,69,69,http://www.redfin.com/NJ/Jersey-City/100-Claremont-Ave-07305/home/36576162,69,69,Y,Y,40.7085372,-74.077851
416,PAST SALE,69,Single Family Residential,117 Wilkinson Ave,Jersey City,NJ,7305,70000.0,69.0,69.0,69,69.0,2500.0,69.0,69.0,69.0,69.0,69,69,69,http://www.redfin.com/NJ/Jersey-City/117-Wilkinson-Ave-07305/home/36529538,69,69,Y,Y,40.7059799,-74.080331
417,PAST SALE,April-16-2021,Single Family Residential,355-359 E 40th St,Paterson,NJ,7504,345000.0,3.0,3.0,Paterson,69.0,7501.0,69.0,110.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Paterson/355-E-40th-St-07504/home/37684846,NJMLS,21002406,Y,Y,40.910457,-74.13653
418,PAST SALE,May-12-2021,Single Family Residential,225 74TH St,North Bergen,NJ,7047,510000.0,6.0,3.0,North Bergen,69.0,69.0,69.0,84.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/North-Bergen/225-74th-St-07047/home/36599768,HCMLS,202028800,Y,Y,40.7962805,-74.0047416
419,MLS Listing,69,Multi-Family (2-4 Unit),317 Summer Ave,Newark,NJ,7104,561000.0,8.0,5.0,Newark,69.0,2940.0,69.0,42.0,69.0,69.0,Active,69,69,http://www.redfin.com/NJ/Newark/317-Summer-Ave-07104/home/36241380,NJMLS,21025423,Y,Y,40.762583,-74.1694336
420,PAST SALE,March-29-2021,Multi-Family (2-4 Unit),442 S 19th St,Newark,NJ,7103,325000.0,7.0,2.0,Newark,69.0,2500.0,69.0,128.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/442-S-19th-St-07103/home/36235489,NJMLS,21002993,Y,Y,40.7417655,-74.208658
421,PAST SALE,May-27-2021,Multi-Family (2-4 Unit),409 16TH St,Union City,NJ,7087,495000.0,6.0,3.5,Union City,69.0,69.0,69.0,69.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Union-City/409-16th-St-07087/home/36616666,HCMLS,210009095,Y,Y,40.7618933,-74.0351761
422,PAST SALE,March-8-2021,Multi-Family (2-4 Unit),86 PEABODY Pl #2,Newark City,NJ,07104-4112,335000.0,69.0,69.0,Newark City,69.0,2613.0,1897.0,149.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/86-Peabody-Pl-07104/unit-2/home/173114564,GSMLS,3662895,Y,Y,40.7683809,-74.1612231
423,MLS Listing,69,Multi-Family (2-4 Unit),530 Hawthorne Ave,Newark,NJ,7112,365000.0,10.0,4.0,Newark,69.0,3202.0,69.0,195.0,69.0,69.0,Contingent,69,69,http://www.redfin.com/NJ/Newark/530-Hawthorne-Ave-07112/home/36282068,NJMLS,21002466,Y,Y,40.7199195,-74.2159378
424,PAST SALE,April-9-2021,Multi-Family (2-4 Unit),33 Armstrong Ave,Jersey City,NJ,7305,280000.0,4.0,3.0,Jersey City,69.0,2749.0,69.0,117.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Jersey-City/33-Armstrong-Ave-07305/home/36539999,NJMLS,21002892,Y,Y,40.6997053,-74.0831756
425,PAST SALE,February-28-2011,Multi-Family (2-4 Unit),229 2ND St,Newark City,NJ,07107-2206,162000.0,69.0,69.0,Newark City,69.0,2613.0,69.0,3810.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/229-2nd-St-07107/home/36260084,GSMLS,2800233,Y,Y,40.7539031,-74.1852689
426,PAST SALE,July-12-2021,Multi-Family (2-4 Unit),18 N 6th St,Newark,NJ,7107,313000.0,4.0,2.0,Newark,69.0,1712.0,69.0,23.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/18-N-6th-St-07107/home/36258973,NJMLS,20045587,Y,Y,40.7491521,-74.1926899
427,MLS Listing,69,Multi-Family (2-4 Unit),319 VAN NOSTRAND Ave,JERSEY CITY,NJ,7305,750000.0,7.0,3.0,Jersey City (West Bergen),69.0,69.0,69.0,52.0,69.0,69.0,Active,69,69,http://www.redfin.com/NJ/Jersey-City/319-Van-Nostrand-Ave-07305/home/36526833,HCMLS,210014312,Y,Y,40.705856,-74.093277
428,PAST SALE,69,Single Family Residential,134 W 51st St,Bayonne,NJ,7002,300000.0,69.0,69.0,69,1476.0,2500.0,1920.0,69.0,203.0,69.0,69,69,69,http://www.redfin.com/NJ/Bayonne/134-W-51st-St-07002/home/36461788,69,69,Y,Y,40.6860027,-74.1075591
429,PAST SALE,April-20-2021,Multi-Family (2-4 Unit),232 Sherman Ave,Newark,NJ,7114,255000.0,6.0,2.0,Newark,69.0,2500.0,69.0,106.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/232-Sherman-Ave-07114/home/36274657,NJMLS,20051491,Y,Y,40.716645,-74.1887315
430,PAST SALE,69,Single Family Residential,296 Ege Ave,Jersey City,NJ,7304,178000.0,69.0,69.0,69,1864.0,1777.0,1900.0,69.0,95.0,69.0,69,69,69,http://www.redfin.com/NJ/Jersey-City/296-Ege-Ave-07304/home/36550183,69,69,Y,Y,40.7173227,-74.0875301
431,PAST SALE,June-28-2021,Multi-Family (2-4 Unit),165 WEGMAN Pkwy,JERSEY CITY,NJ,7305,435000.0,7.0,3.0,Jersey City (Greenville),69.0,69.0,69.0,37.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Jersey-City/165-Wegman-Pkwy-07305/home/36530293,HCMLS,210002170,Y,Y,40.705188,-74.083684
432,MLS Listing,69,Multi-Family (2-4 Unit),169 Goodwin Ave,Newark,NJ,7112,359900.0,8.0,3.0,Newark,69.0,4082.0,69.0,225.0,69.0,69.0,Contingent,69,69,http://www.redfin.com/NJ/Newark/169-Goodwin-Ave-07112/home/36284944,NJMLS,20052079,Y,Y,40.7127518,-74.2138743
433,PAST SALE,May-19-2021,Single Family Residential,12 E 5TH St,Bayonne,NJ,7002,330000.0,4.0,2.0,Bayonne,69.0,69.0,69.0,77.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Bayonne/12-E-5th-St-07002/home/174276597,HCMLS,210002016,Y,Y,40.6512508,-74.1277007
434,MLS Listing,69,Multi-Family (2-4 Unit),36-38 Montrose Ter,Irvington,NJ,7111,369000.0,6.0,2.0,Irvington,69.0,4500.0,69.0,204.0,69.0,69.0,Contingent,69,69,http://www.redfin.com/NJ/Irvington/36-Montrose-Ter-07111/home/36173150,NJMLS,21001246,Y,Y,40.7374106,-74.2162987
435,PAST SALE,March-29-2021,Multi-Family (2-4 Unit),603 15TH Ave,Newark City,NJ,07103-1221,350000.0,69.0,69.0,Newark City,69.0,1742.0,1919.0,128.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/603-15th-Ave-07103/home/36236656,GSMLS,3688464,Y,Y,40.7387028,-74.2079586
436,PAST SALE,March-1-2011,Multi-Family (2-4 Unit),25 HUDSON St,Newark City,NJ,07103-2803,16000.0,69.0,69.0,Newark City,69.0,1742.0,69.0,3809.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/25-Hudson-St-07103/home/36275674,GSMLS,2817713,Y,Y,40.74901,-74.183244
437,PAST SALE,April-23-2021,Multi-Family (2-4 Unit),303 S 19th St,Newark,NJ,7103,320000.0,5.0,3.0,Newark,69.0,2500.0,69.0,103.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/303-S-19th-St-07103/home/36256311,NJMLS,21000337,Y,Y,40.7465129,-74.2069039
438,PAST SALE,69,Multi-Family (2-4 Unit),880 S 20th St #2,Newark,NJ,7108,69.0,69.0,69.0,69,69.0,69.0,69.0,69.0,69.0,69.0,69,69,69,http://www.redfin.com/NJ/Newark/880-S-20th-St-07108/unit-2/home/173935662,69,69,Y,Y,40.7260156,-74.2157654
439,PAST SALE,69,Townhouse,2108 E Cambria St,Philadelphia,PA,19134,95000.0,3.0,1.0,69,1190.0,1099.0,1920.0,69.0,80.0,69.0,69,69,69,http://www.redfin.com/PA/Philadelphia/2108-E-Cambria-St-19134/home/38691074,69,69,Y,Y,39.9883493,-75.1167169
440,PAST SALE,February-26-2021,Townhouse,138 Lafayette Ave,Darby,PA,19023,85000.0,3.0,1.0,Darby,1182.0,1699.0,1930.0,159.0,72.0,69.0,Sold,69,69,http://www.redfin.com/PA/Collingdale/138-Lafayette-Ave-19023/home/38139244,BRIGHT MLS,PADE538146,Y,Y,39.9085179,-75.2818452
441,PAST SALE,69,Single Family Residential,128 Lawrence St,Hackensack,NJ,7601,415000.0,69.0,69.0,69,1812.0,5162.0,1907.0,69.0,229.0,69.0,69,69,69,http://www.redfin.com/NJ/Hackensack/128-Lawrence-St-07601/home/35754081,69,69,Y,Y,40.8839983,-74.0482574
442,PAST SALE,March-6-2019,Multi-Family (2-4 Unit),79 HEADLEY Ter,Irvington Twp.,NJ,07111-1348,299900.0,69.0,69.0,Irvington Twp.,69.0,4791.0,69.0,882.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Irvington/79-Headley-Ter-07111/home/36166843,GSMLS,3505786,Y,Y,40.726915,-74.2455586
443,PAST SALE,July-20-2021,Multi-Family (2-4 Unit),1458 76TH St,North Bergen,NJ,7047,515000.0,6.0,2.0,North Bergen,69.0,69.0,69.0,15.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/North-Bergen/1458-76th-St-07047/home/36601305,HCMLS,210001675,Y,Y,40.8037291,-74.0161379
444,PAST SALE,July-30-2021,Multi-Family (2-4 Unit),186 S 9th St,Newark,NJ,7107,410000.0,8.0,3.0,Newark,69.0,2801.0,69.0,5.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/186-S-9th-St-07107/home/36257981,NJMLS,21016808,Y,Y,40.745217,-74.1970899
445,PAST SALE,March-8-2021,Single Family Residential,18 PATERSON St,JERSEY CITY,NJ,7307,550000.0,5.0,3.0,Jersey City (Heights),69.0,69.0,69.0,149.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Jersey-City/18-Paterson-St-07307/home/36520707,HCMLS,210001537,Y,Y,40.7508092,-74.0470755
